brand,stock_name,stock_qty,stock_screen,stock_quality,stock_model,status,listing_sku,listing_qty,listing_price,listing_screen,listing_quality,listing_brand,listing_title
XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,note5,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,11x,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,11x,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,4a,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,a3,ACTIVE,A30,2,1932,LCD,Standard,SAMSUNG,Compatible for Samsung Galaxy A30 LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,note10t,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,k20,ACTIVE,MIK20,1,2474,LCD,Standard,REDMI,Compatible for Redmi K20/K20 Pro (No Fingerprint Support) LCD Display+Touch Scre
XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,12,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,125g,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,13proplus,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,10power,ACTIVE,MI10POWER,1,1932,LCD,Standard,REDMI,Compatible for Redmi 10 Power LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,note6pro,ACTIVE,INN10P,99,2737,LCD,Standard,INFINIX,Compatible for Infinix Note 10 Pro LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,note7,ACTIVE,INN10P,99,2737,LCD,Standard,INFINIX,Compatible for Infinix Note 10 Pro LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,x3,NOT LISTED,,,,,,,
XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,m4,ACTIVE,POCOM4,1,2228,LCD,Standard,POCO,Compatible for Poco M4 LCD Display+Touch Screen Combo Folder
MIX,Nothing Phone 1 CareOG,1,Not Specified,CareOG,1,INACTIVE,MI10CCARE,0,2375,Not Specified,CareOG,REDMI,Compatible for Redmi 10/Redmi 10C/ Redmi 10 Power CareOG Display+Touch Screen Co
MIX,Infinix Note 10 Incell,1,Incell LCD,Standard,note10,ACTIVE,INN10P,99,2737,LCD,Standard,INFINIX,Compatible for Infinix Note 10 Pro LCD Display+Touch Screen Combo Folder
MIX,Infinix Hot 9 Incell,1,Incell LCD,Standard,hot9,ACTIVE,INH9PLAY,100,1699,LCD,Standard,INFINIX,Compatible for Infinix Hot 9 Play LCD Display+Touch Screen Combo Folder
MIX,Infinix Note 11S Incell,1,Incell LCD,Standard,note11s,ACTIVE,INN10P,99,2737,LCD,Standard,INFINIX,Compatible for Infinix Note 10 Pro LCD Display+Touch Screen Combo Folder
MIX,Honor 7X Incell,1,Incell LCD,Standard,7x,ACTIVE,HNR7XW,1,1814,LCD,Standard,HONOR,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
MIX,Honor 7X White Incell,1,Incell LCD,Standard,7x,ACTIVE,HNR7XW,1,1814,LCD,Standard,HONOR,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
MIX,Honor 8C Incell,1,Incell LCD,Standard,8c,INACTIVE,HNR8C,0,1932,LCD,Standard,HONOR,Compatible for Honor 8C LCD Display+Touch Screen Combo Folder
MIX,Honor 8X Incell,1,Incell LCD,Standard,8x,INACTIVE,HNR8X,0,2016,LCD,Standard,HONOR,Compatible for Honor 8X LCD Display+Touch Screen Combo Folder
MIX,Honor X9B Incell,1,Incell LCD,Standard,x9b,INACTIVE,HNRX9B(5G)LCD,0,4139,LCD,Standard,HONOR,Compatible for Honor X9B LCD (No Fingerprint Support) Display+Touch Screen Combo
MIX,Nokia G10 Incell,1,Incell LCD,Standard,g10,ACTIVE,MOTOG10,100,2069,LCD,Standard,MOTO,Compatible for Motorola Moto G10/G10 Power LCD Display+Touch Screen Combo Folder
MIX,Nokia G20 Incell,2,Incell LCD,Standard,g20,ACTIVE,MOTOG20,1,2094,LCD,Standard,MOTO,Compatible for Motorola Moto G20 LCD Display+Touch Screen Combo Folder
MIX,Nokia G21 Incell,1,Incell LCD,Standard,g21,INACTIVE,NKG21,0,2606,LCD,Standard,NOKIA,Compatible for Nokia G21 LCD Display+Touch Screen Combo Folder
MIX,Nokia C3 Incell,1,Incell LCD,Standard,c3,ACTIVE,RMEC31OG,100,1966,LCD,Standard,REALME,Compatible for Realme C31 LCD Display+Touch Screen Combo Folder
MIX,Moto G9 Incell,1,Incell LCD,Standard,g9,ACTIVE,MOTOG9,100,2474,LCD,Standard,MOTO,Compatible for Motorola Moto G9/G9 Play LCD Display+Touch Screen Combo Folder
MIX,Moto Edge 50 Fusion Incell,1,Incell LCD,Standard,edge50fusion,INACTIVE,EDGE30FusionLCD,0,3779,LCD,Standard,MOTO,Compatible for Motorola Moto Edge 30 Fusion LCD (No Fingerprint Support) Display
MIX,Moto G34 Frame,1,Not Specified,With Frame,g34,NOT LISTED,,,,,,,
MIX,Asus Zenfone Max M2 Incell,1,Incell LCD,Standard,zenfonemaxm2,ACTIVE,ZFMXPROM1TFT,97,2148,LCD,Standard,ASUS,Compatible for Asus Zenfone Max Pro M1 LCD Display+Touch Screen Combo Folder
MIX,Asus ROG Phone 2 Incell,1,Incell LCD,Standard,rogphone2,NOT LISTED,,,,,,,
