Match Type,Brand,Stock Item,Qty,Stock Screen,Stock Quality,Sunsky Primary Model,Sunsky Cross-fit Models,Sunsky Item No,Sunsky Price (INR),Sunsky Product Type,Amazon Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Amazon Title,Flag
LOOSE MATCH,Oppo,F17 Pro OLED,1,OLED,Standard,7 Pro,,MPB9872,Rs.454,For OnePlus,Oppo F17 Pro,Active,OPOF17PROG,100,2737,LCD,Standard,Compatible for Oppo F17 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Folder,SCREEN: OLED->LCD
LOOSE MATCH,Oppo,F19 OLED,1,OLED,Standard,F19,Oppo F19 Pro / Oppo F19 Pro+ 5G,SPS3928,Rs.697,LCD Screen,Oppo F19,Active,OPF19/PROOG,100,2276,LCD,Standard,Compatible for Oppo F19/F19 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Fo,SCREEN: OLED->LCD
LOOSE MATCH,Oppo,F27 OLED,1,OLED,Standard,F27,,EDA008567302,Rs.3139,LCD Screen,Oppo F27 5G,Active,OPF275GLCD,100,2799,LCD,Standard,Compatible for Oppo F27 5G LCD (No Fingerprint Support) Display+Touch Screen Combo Folder,SCREEN: OLED->LCD
LOOSE MATCH,Oppo,F5 Frame,1,Not Specified,With Frame,F5,,SP3077RL,Rs.190,Back Cover,Oppo F5,Active,OPOF5BCARE,1,2474,Not Specified,CareOG,Compatible for Oppo F5 (Black) CareOG Display+Touch Screen Combo Folder,QUALITY: With Frame->CareOG
LOOSE MATCH,Apple,iPhone 8 Plus Incell,1,Incell LCD,Standard,iPhone 8 Plus,,IP8P1211L,Rs.441,For iPhone,Apple iPhone 8 Plus,Inactive,IPH8PBCARE,0,3464,Not Specified,CareOG,Compatible for Apple iPhone 8 Plus (Black) CareOG Display+Touch Screen Combo Folder,SCREEN: Incell LCD->Not Specified | QUALITY: Standard->CareOG
LOOSE MATCH,Samsung,Galaxy A73 OLED,1,OLED,Standard,A73,Oppo F5 Youth / Oppo A77,EDA003358812,Rs.323,For OPPO,Samsung Galaxy A73,Inactive,SAMA73CARE,0,6180,Not Specified,CareOG,Compatible for Samsung Galaxy A73 (Fingerprint Support) CareOG Display+Touch Screen Combo ,SCREEN: OLED->Not Specified | QUALITY: Standard->CareOG
LOOSE MATCH,Samsung,Galaxy J7 Max Incell,1,Incell LCD,Standard,Galaxy J7 Max,,SPA1078BL,Rs.1489,LCD Screen,Samsung Galaxy J7 Max,Inactive,J7MXBLED,0,2225,OLED,Standard,Compatible for Samsung Galaxy J7 Max (2017) (Black) OLED Display+Touch Screen Combo Folder,SCREEN: Incell LCD->OLED
NOT LISTED,Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,13 Pro,,SPS7838S,Rs.12643,LCD Screen,,,,,,,,,
NOT LISTED,Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,70 Pro,,EDA004526819,Rs.3303,LCD Screen,,,,,,,,,
NOT LISTED,Oppo,A57 5G CareOG,3,Not Specified,CareOG,A57 5G,,EDA003543803,Rs.860,LCD Screen,,,,,,,,,
NOT LISTED,Oppo,A54 5G Incell,1,Incell LCD,Standard,A54 5G,,SPS3221,Rs.1473,LCD Screen,,,,,,,,,
NOT LISTED,Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,10 Pro,,RPS0646,Rs.1298,LCD Screen,,,,,,,,,
NOT LISTED,Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,A32,,SPS3535,Rs.1127,LCD Screen,,,,,,,,,
NOT LISTED,Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,A32,,SPS3535,Rs.1127,LCD Screen,,,,,,,,,
NOT LISTED,Samsung,Galaxy S21 FE OLED,1,OLED,Standard,Galaxy S21 FE 5G,,EDA004054907,Rs.404,For Samsung,,,,,,,,,
NOT LISTED,Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,,,,,,,,,,,,,,
NOT LISTED,Samsung,Galaxy J7 Next Incell,3,Incell LCD,Standard,NEX,,EDA002562221,Rs.44,Outer Glass Lens,,,,,,,,,
NOT LISTED,Samsung,Galaxy J7 2016 Incell,1,Incell LCD,Standard,Galaxy J7 (2016),,MPB4389,Rs.265,For Samsung,,,,,,,,,
NOT LISTED,Samsung,Galaxy J7 2015 Incell,1,Incell LCD,Standard,,,,,,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,Redmi Note 5,,MPB3546,Rs.307,For Xiaomi,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,Mi 11X,Xiaomi Mi 11X Pro / Xiaomi Mi 11i / Xiaomi Poco F3 / Xiaomi Redmi K40 Pro+ / Xiaomi Redmi K40 Pro,EDA003356912,Rs.404,For Xiaomi,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,Mi 11X,Xiaomi Mi 11X Pro / Xiaomi Mi 11i / Xiaomi Poco F3 / Xiaomi Redmi K40 Pro+ / Xiaomi Redmi K40 Pro,EDA003356912,Rs.404,For Xiaomi,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,Mi 4,,MPB1219,Rs.332,For Xiaomi,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,10T,,SPS6011B,Rs.3094,LCD Screen,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,Spark 20 Pro,,EDA006935205,Rs.1213,LCD Screen,,,,,,,,,
NOT LISTED,XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,Mi 1,,S-SP-0082,Rs.388,Touch Panel,,,,,,,,,
